baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	
ENSG00000006327	0.428911633	0.716042207	1.533233697	0.467014395	0.640489579	NA
ENSG00000006432	0.093368299	-0.085251803	4.021244104	-0.021200355	0.983085831	NA
ENSG00000006451	12.87190993	-1.572937166	0.333095003	-4.722187827	2.33E-06	0.000115632
ENSG00000006453	0.055361775	-0.703051248	5.05312358	-0.139132012	0.889345833	NA
ENSG00000006459	50.14677623	-0.383664346	0.331179875	-1.158477237	0.246669336	0.409725511
ENSG00000006468	0.219433774	-0.818957698	3.084248102	-0.265529125	0.790601877	NA
ENSG00000006530	9.120563078	-1.180547411	0.586228955	-2.013799217	0.044030618	0.136120039
ENSG00000006534	6.029347967	0.306528124	0.566346481	0.541237802	0.588343685	0.717647467
ENSG00000006555	0.090950963	-0.341690662	3.217455305	-0.106199039	0.915424433	NA
ENSG00000006576	132.1489104	0.682669656	0.203415403	3.356037185	0.000790679	0.009634184
ENSG00000006607	2.523641105	-0.650915677	0.722958894	-0.900349497	0.367934288	0.529832206
ENSG00000006625	9.911712822	-1.32357671	0.379073362	-3.491610974	0.000480117	0.006706724
ENSG00000006634	11.47441697	-1.12529967	0.472494776	-2.381612935	0.017237004	0.074614978
ENSG00000006638	17.01477395	0.108857657	0.305211318	0.356663238	0.72134393	0.817560413
ENSG00000006652	692.0167228	0.199706271	0.111932012	1.784174768	0.074395271	0.189257944
ENSG00000006659	0.065740838	-0.559754483	5.053349418	-0.110769004	0.911799525	NA
ENSG00000006695	3.827010924	-1.055868597	0.534806854	-1.974298926	0.048347763	0.14380108
ENSG00000006704	0.108414928	-1.108130937	3.395328777	-0.326369259	0.744144993	NA
ENSG00000006712	24.05239685	-0.850334469	0.404537703	-2.10199065	0.035554095	0.11889112
ENSG00000006715	280.2386719	0.479809534	0.171081587	2.804565599	0.005038443	0.033778372
ENSG00000006740	0.063573939	-0.054491193	4.651322882	-0.011715203	0.990652834	NA
ENSG00000006744	11.37595571	-1.214672268	0.611948427	-1.984925876	0.047152719	0.141827393
ENSG00000006747	0.823560995	1.751800593	1.991014233	0.879853375	0.378938745	0.540377096
