"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000005486"	23.1271251007979	-0.598472460176145	0.199732988683734	-2.99636261450928	0.00273221322308148	0.00663248730443647
"ENSG00000005700"	27.3693310119014	-2.29715413170293	0.378820497731295	-6.06396471537385	1.3280630262087e-09	1.4712248041947e-08
"ENSG00000005801"	3.81147141771038	-3.44302816155401	0.606943585067296	-5.67273177649988	1.40538184409668e-08	1.22038860702561e-07
"ENSG00000005810"	175.7080830992	-0.986828464154183	0.180356878535496	-5.47153217646737	4.46161315449919e-08	3.43494362470131e-07
"ENSG00000005812"	7.02561953510609	-0.354558669044468	0.473887026185053	-0.748192394923283	0.454344117556665	0.546458045387362
"ENSG00000005844"	42.5847339805645	-2.86740867215005	0.44349735981302	-6.46544699467649	1.00999803100907e-10	1.43050183610853e-09
"ENSG00000005882"	56.3511263120168	-0.00523611771482009	0.221074533059604	-0.0236848525352687	0.981103988543376	0.985897190179107
"ENSG00000005884"	0.123883312522497	-1.18467786501982	2.87987295109442	-0.411364627932497	0.680805186839553	NA
"ENSG00000005889"	10.9167777294147	-3.83950695321151	0.496085491254964	-7.73960742834583	9.97242461670121e-15	3.15930996879907e-13
"ENSG00000005893"	194.549792030725	0.0831923235452099	0.157522693890845	0.528129131684721	0.597409712652519	0.679334185545891
"ENSG00000005955"	55.6630983618977	-2.13456925344768	0.272679668539571	-7.82812031744098	4.95217909059601e-15	1.66111404742432e-13
"ENSG00000005961"	10102.5314496585	1.3462929251988	0.147263782594447	9.14205041783006	6.1279256425e-20	4.58961648257024e-18
"ENSG00000006007"	118.110787596459	0.412606698019884	0.147740808890204	2.79277405558622	0.00522581795947528	0.0117636388924418
"ENSG00000006015"	11.8176494513588	-0.960868283328317	0.363319147526446	-2.64469486364843	0.00817646126674838	0.0174914332066221
"ENSG00000006025"	3.34437706576481	-2.68342114269555	0.880278849855925	-3.04837625388222	0.00230081651619203	0.0056915369609841
"ENSG00000006042"	0.309449125408628	-2.26274821205705	1.60534400744045	-1.40950986303849	0.158684459097707	0.229660841296525
